,comment_lengths,comments,mags,scores,times
21,282,Stay strong PM LEE. Every family has their own dirty laundry & its perfectly normal.  It's awful these 2 siblings air their dirty laundry in public when you are spending your private time with family overseas. Obviously they are both so scheming to cause disharmony for our country.,1.7,-0.1,2017-06-14T02:05:57+0000
22,218,lets hav a referendum !!! demolish or preserve????? let singaporeans decide since Founding PM Lee Kuan Yew served singapore all his life   ..... more important than the meaningless presidential vote in my opinion .....,1,0,2017-06-14T01:53:17+0000
23,419,"I had hoped that it was a hoax or something like that. But your statement truly showed the hurt caused! Dont we all have our own siblings' issues. Yours should be no different just cos you are PM. As the saying goes ??????, matters like this should be kept within the family. Leave the drama serial to mediacorp.  As much as it hurts, it has to be solved. So, stay strong and rational PM Lee!! Enjoy your break for now!",2.8,0,2017-06-14T01:58:35+0000
24,192,"Every family have their own issues... Take care Mr PM Sir! You deserved a break, from all these heavy responsibilities. Hope to see our positive, cheerful leader returning back this weekend :)",1,0.2,2017-06-14T01:52:55+0000
25,144,"Airing dirty Laundry in public is the worst form of insult to your parents , Sir . I know you will do what's best for yourself and your family .",1.4,0,2017-06-14T02:05:20+0000
26,137,They are too comfortable. Life is good. Just sit back and criticise. They don't have to shoulder the responsibility of running a country.,1.4,0.3,2017-06-14T02:10:30+0000
27,616,"Dear PM, its never easy to please everyone and you shouldn't. But the house issue is sticky and may divide the people unnecessarily. The government's view to preserve the house as a legacy for future generations is not wrong but going against the wishes of our late LKY will make it tough. Instead a good solution would be do use VR to map the house in 3D. Technology is there now to let users immerse themself and feel that they are walking in the house through VR. It will also allow more people to experience and view it to remember the legacy. Then both the wishes of LKY and the need to preserve legacy remains.",1.8,0.1,2017-06-14T04:40:57+0000
28,309,Please step down and save your integrity and dignity.  This is a great shame to your father Mr .LKY . It's time you hand over the PM post and step aside or you must sue your siblings to clear this . Your parents ashes would have turned because of this  .Please honour your parents wishes and step down please.,0.7,0.1,2017-06-14T02:11:12+0000
29,180,My family and I fully support you! What you did was with integrity and what is the best for Singapore. Family business should not be aired in public. Stay strong we are with you!!!,1.8,0.2,2017-06-14T02:13:34+0000
30,745,"Dearest PM Lee, being an elder brother I would suggest if you could get all your siblings together and sort out this issue internally. I have upmost respect and unconditional love for Late Lee Kuan Yew and he would be very sad and disappointed to see from up there that his family is tearing apart. He has been a father of the nation and has been working very hard to build Singapore from the start. If he can do it, I'm sure being the eldest son you can continue his legacy and find a solution with all your siblings to overcome family issues. I don't deny all family have their issues but the person who takes the step forward in resolving this is the great one. I have upmost respect and love for you PM Lee. Love & Regards from Kuala Lumpur.",3.4,0.4,2017-06-14T03:04:39+0000
31,406,My family and I support you PM #leehsienloong. We're behind you 100%. We believe in you. We know how much you have sacrificed for Singapore and continue to do so.   It's not easy being both the PM and LKY's son over this matter. I'm sure you're torn over the deliberations and decisions to be made.   Rest well Sir. Hope your siblings will realise the damage they have done to their father's legacy. ??????,2.5,0.2,2017-06-14T03:43:30+0000
32,212,"Stay strong Sir. Am sure with Mr. LKY's values embedded so well in you , you shall be able to go past this with grace. And you will be able to bond your family together again. All the best. We are all with you!!!",2,0.3,2017-06-14T01:47:37+0000
33,171,Unfortunate that they will do this in your absence Sir. Wishing that you will resolve the differences soon Sir! Have a good rest in the meantime! We are behind you always!,1.4,0.1,2017-06-14T02:16:26+0000
34,521,"It is highly unfortunate that private family matters have become publicized and used as a pedagogical weapon of politics. Family matters should stay within the family - it is not any of the public's business nor interest to be weighing in or meddling with these affairs for they involve a high degree of personal bias (and subtle nuances/developments not made privy to us) to begin with. That said, I sincerely hope that the allegations against you are found to be false. Have a good holiday PM Lee and safe journey home.",2.2,-0.2,2017-06-14T02:12:13+0000
